,Name,Gender,DOB,Name Of Area,Pincode,Latitude ,Longitude,Flexibility,Body Composition,Composition Percentage,Interactiveness,Workout Frequency,Workout Mode Preferred,is_sports_enthusiast,like_to_be_mentored,like_to_mentor,fitness_goal_to_be achieved,addons in session,Height_in_cms,Age
31,Ved Uddin,Male,1992-03-10,Pune H.O,411001,18.5358,73.891,4,Acceptable,23,1,Any Day of Week,Outdoor,No,2,3,Improve athletic skills,Meditation,166,29
32,Vihaan Neel,Male,1981-06-18,Swargate Chowk S.O,411042,18.506970000000006,73.87119,4,Athletes,6,4,Daily,Indoor,Yes,1,3,Build muscle,Both,167,39
33,Ved Kishore,Male,1999-12-22,Guruwar Peth S.O,411042,18.505470000000006,73.85951,1,Essential Fat,6,1,Daily,Outdoor,Yes,5,5,Build muscle,Meditation,168,21
34,Anant Nara,Male,1993-01-06,M.Phulenagar S.O,411019,28.5779,77.31541,3,Essential Fat,6,3,Any Day of Week,Indoor,Maybe,2,2,All,None,161,28
35,Adhira Chauhan,Female,1982-02-17,Khondhwa KH B.O,411048,18.45756,73.89339,5,Obese,40,5,Any Day of Week,Both,Yes,4,2,Improve endurance/conditioning,Yoga,176,39
36,Manan Raji,Male,1984-07-23,Botanical Garden S.O (Pune),411003,18.56354,73.82588,3,Fitness,14,3,3 days of week,Indoor,Yes,4,5,Mesomorph,Both,172,36
37,Hiya Suri,Female,1981-08-10,Yamunanagar S.O,411044,18.60589,73.76143,5,Fitness,22,1,Monday To Friday,Outdoor,Yes,5,1,Lose fat,Meditation,164,39
38,Mohammad Veer,Male,1983-11-25,Dighi Camp S.O,411015,18.55284,73.95387,1,Athletes,6,3,Any Day of Week,Outdoor,Yes,2,3,Mesomorph,None,169,37
39,Ishita Patel,Female,1986-07-22,N.I.A. S.O,411045,18.55284,73.95387,2,Acceptable,32,1,Alternate Days,Both,Yes,4,3,Build muscle,Yoga,171,34
40,Zuber Chauhan,Male,1989-07-12,Khadakwasla R.S. S.O,411024,18.45597,73.78478,4,Fitness,14,4,Daily,Outdoor,Maybe,5,2,Improve athletic skills,Yoga,176,31
41,Sai Joshi,Female,1992-05-12,Yerwada T.S. S.O,411006,18.54429,73.87986,1,Obese,40,3,Any Day of Week,Indoor,Maybe,4,2,Lose fat,Meditation,165,29
42,Ishank Vijaya,Male,1996-03-26,Congress House Road S.O,411005,18.5282,73.84735,4,Athletes,6,4,Alternate Days,Both,Yes,4,5,Lose fat,None,162,25
43,Krisha Muthu,Female,2003-01-11,Pimpri Colony S.O,411017,18.60755,73.78615,2,Athletes,21,4,Alternate Days,Outdoor,Maybe,4,4,Improve athletic skills,Yoga,174,18
44,Naksh Kapoor,Male,1998-05-20,S.P. College S.O,411030,18.5282,73.84735,2,Obese,95,2,Alternate Days,Outdoor,Maybe,3,1,Lose fat,Yoga,166,23
45,Rishaan Patel,Male,1984-06-14,Rashtra Bhasha Bhavan S.O,411030,18.50942,73.84063,1,Acceptable,23,1,3 days of week,Indoor,No,2,4,Improve athletic skills,Both,165,36
46,Ananya Srini,Female,1999-06-10,Kapad Ganj S.O,411002,18.51378,73.86019,2,Obese,40,5,3 days of week,Indoor,Yes,5,4,Lose fat,Yoga,163,21
47,Sai Rajagopal,Female,1982-12-22,Ghorpuri Bazar S.O,411001,18.5259,73.89545,5,Acceptable,32,1,Alternate Days,Both,Maybe,5,2,All,Meditation,178,38
48,Shanaya Punj,Female,1986-11-15,Chinchwad East S.O,411019,18.62815,73.8318,2,Obese,40,5,3 days of week,Outdoor,Maybe,2,2,All,None,164,34
49,Pavati Chande,Female,1982-02-19,Hadapsar S.O,411028,18.50453,73.91255,4,Obese,40,1,Monday To Friday,Indoor,Yes,2,2,Mesomorph,None,162,39
50,Mehar Madan,Female,1993-07-18,Punawale B.O,411033,18.63172,73.73346,4,Essential Fat,14,4,Alternate Days,Both,No,2,4,Lose fat,Both,168,27
51,Mishka Malik,Female,1998-10-09,Lokmanyanagar S.O,411030,18.50825,73.84405,4,Athletes,21,3,Monday To Friday,Outdoor,Yes,2,1,Improve endurance/conditioning,None,165,22
52,Reyansh Nath,Male,2003-02-22,Vadgaon Budruk S.O,411041,18.45823,73.81821,4,Obese,95,3,Monday To Friday,Outdoor,No,1,2,Improve athletic skills,Meditation,172,18
53,Shrishti Meena,Female,1998-04-19,Punawale B.O,411033,18.63172,73.73346,5,Obese,40,2,Alternate Days,Both,Yes,5,3,Lose fat,Yoga,163,23
54,Vivaan Ganesh,Male,1981-03-04,Kasarwadi S.O,411034,18.60373,73.82221,3,Fitness,14,5,Daily,Both,Yes,1,1,All,Both,161,40
55,Kahaan Sahni,Male,1982-01-02,Pune R.S. S.O,411001,18.5114,73.87722,1,Athletes,6,5,Alternate Days,Indoor,Yes,4,3,All,None,163,39
56,Manan Manju,Male,2001-04-23,S.S.C.Exam Board S.O,411005,18.53245,73.84654,4,Fitness,14,5,Alternate Days,Outdoor,Yes,4,1,Improve athletic skills,Both,167,20
57,Krisha Rai,Female,1986-07-05,Khadki S.O,411003,18.56312,73.84433,2,Athletes,21,4,3 days of week,Outdoor,No,5,2,Improve endurance/conditioning,Both,172,34
58,Rohan Madan,Male,1981-01-22,Pune R.S. S.O,411001,18.5114,73.87722,4,Fitness,14,5,Alternate Days,Outdoor,No,4,5,Lose fat,None,169,40
59,Bhuv Srivastav,Male,1992-01-22,Katraj S.O,411046,18.45938,73.86667,2,Obese,95,3,Daily,Both,Maybe,2,2,Lose fat,Both,177,29
60,Raunak Rai,Male,1991-12-03,Khadakwasla R.S. S.O,411024,18.45597,73.78478,2,Obese,95,4,3 days of week,Indoor,Yes,1,4,Improve endurance/conditioning,None,168,29
61,Carina Sharma,Female,1983-12-09,Vadgaon Sheri S.O,411014,18.542820000000006,73.92344,4,Essential Fat,14,1,Only Weekends,Outdoor,No,2,4,Improve endurance/conditioning,Meditation,160,37
62,Kaia Mahajan,Female,1997-12-23,Vidyanagar S.O (Pune),411032,18.55284,73.95387,5,Fitness,22,5,Only Weekends,Both,No,4,1,Improve endurance/conditioning,None,172,23
63,Ryka Subram,Female,1989-10-11,Nana Peth S.O,411002,18.51009,73.85672,2,Acceptable,32,5,Monday To Friday,Outdoor,No,1,4,All,Yoga,177,31
64,Sneha Chaudhary,Female,1981-10-10,Congress House Road S.O,411005,18.5282,73.84735,2,Essential Fat,14,1,Monday To Friday,Indoor,Yes,2,2,Improve athletic skills,None,174,39
65,Alisha Krishnamurthy,Female,2003-09-14,Sachapir Street S.O,411001,18.51141,73.87791999999997,4,Fitness,22,5,Daily,Outdoor,Maybe,5,3,Improve endurance/conditioning,Yoga,161,17
66,Sadhil Lata,Male,1989-11-04,Punawale B.O,411033,18.63172,73.73346,2,Fitness,14,1,Any Day of Week,Indoor,No,2,2,Improve athletic skills,Both,170,31
67,Asmee Aggarwal,Female,1991-05-13,Rupeenagar S.O,412114,18.53325,73.89263000000003,2,Essential Fat,14,4,Only Weekends,Indoor,Yes,4,1,Mesomorph,None,173,30
68,Krisha Narayan,Female,1994-05-26,Pune H.O,411001,18.5358,73.891,4,Obese,40,3,Monday To Friday,Outdoor,No,1,4,Lose fat,Yoga,174,27
69,Naksh Anand,Male,1990-03-13,Market Yard S.O (Pune),411037,18.48193,73.87425,4,Fitness,14,1,Only Weekends,Outdoor,No,5,3,Lose fat,None,173,31
70,Aahva Bhatt,Male,1996-07-01,N.C.L. Pune S.O,411008,18.53658,73.7989,1,Obese,95,2,Daily,Indoor,Maybe,1,5,Build muscle,None,175,24
71,Adah Narayan,Female,2000-02-02,Kalewadi B.O,411017,18.618920000000006,73.79878000000002,5,Essential Fat,14,1,Daily,Both,No,5,3,Mesomorph,None,174,21
72,Kimaya Chandrasekar,Female,1989-04-02,Dhanori B.O,411015,18.5844,73.88738000000002,5,Obese,40,5,Any Day of Week,Indoor,No,1,3,Improve endurance/conditioning,Meditation,178,32
73,Mirai Dutta,Female,1998-09-15,Khondhwa KH B.O,411048,18.45756,73.89339,2,Athletes,21,4,Any Day of Week,Outdoor,Yes,4,2,Improve endurance/conditioning,Yoga,168,22
74,Pahal Tyagi,Male,1986-11-28,Model Colony S.O,411016,18.52906,73.83811,5,Acceptable,23,4,3 days of week,Outdoor,Yes,5,5,All,Meditation,164,34
75,Vivaan Subram,Male,1982-07-12,East Khadki S.O,411003,18.55499,73.86108,2,Fitness,14,1,Daily,Both,Maybe,3,1,Mesomorph,Meditation,164,38
76,Navya Soni,Female,1988-10-27,Botanical Garden S.O (Pune),411003,18.56354,73.82588,1,Acceptable,32,3,Monday To Friday,Indoor,Yes,1,1,Improve endurance/conditioning,Yoga,170,32
77,Hiya Rana,Female,1984-12-12,L.K. Path S.O,411003,18.54263,73.78494,4,Obese,40,2,Only Weekends,Indoor,Yes,1,3,Build muscle,None,163,36
78,Sahana Engineer,Female,1991-03-16,Lokmanyanagar S.O,411030,18.50825,73.84405,4,Fitness,22,4,Alternate Days,Indoor,Maybe,2,3,Improve athletic skills,Meditation,177,30
79,Rushil Chauhan,Male,1992-05-26,Bhusari Colony S.O,411038,18.50956,73.79646,4,Obese,95,5,Any Day of Week,Outdoor,No,5,4,Lose fat,Meditation,162,28
80,Ananya Charan,Female,1990-07-25,Mohamadwadi S.O,411060,18.47335,73.90957,5,Athletes,21,5,Alternate Days,Indoor,Maybe,3,5,Mesomorph,Meditation,163,30
81,Navya Samuel,Female,1982-02-19,Wanowarie S.O,411040,18.494770000000006,73.90127,1,Essential Fat,14,3,Monday To Friday,Both,Yes,4,3,Lose fat,None,173,39
82,Kevin Rana,Male,1989-07-23,Shivaji Housing Society S.O,411016,18.52501,73.82303,5,Fitness,14,4,Any Day of Week,Outdoor,Maybe,2,4,Improve athletic skills,Meditation,166,31
83,Sadhil Krishnamurthy,Male,2002-11-18,Shivaji Housing Society S.O,411016,18.52501,73.82303,5,Athletes,6,1,Alternate Days,Outdoor,No,3,5,Mesomorph,Both,167,18
84,Prisha Malik,Female,1990-04-09,Kondhwa Lh B.O,411048,18.48028,73.89846999999997,1,Athletes,21,5,Monday To Friday,Indoor,Maybe,5,1,Improve athletic skills,Yoga,175,31
85,Amoli Chandra,Female,1986-08-26,Mohamadwadi S.O,411060,18.47335,73.90957,1,Fitness,22,3,Only Weekends,Both,Yes,3,4,Improve endurance/conditioning,Both,174,34
86,Mirai Lata,Female,1985-11-09,S.S.C.Exam Board S.O,411005,18.53245,73.84654,1,Obese,40,4,Monday To Friday,Outdoor,Yes,1,5,Improve endurance/conditioning,None,166,35
87,Taksh Veer,Male,1989-10-19,Sangavi S.O,411027,18.57422,73.81781,1,Athletes,6,4,3 days of week,Outdoor,Maybe,1,4,Improve endurance/conditioning,Meditation,176,31
88,Anushka Neelam,Female,1982-02-01,Model Colony S.O,411016,18.52906,73.83811,4,Acceptable,32,4,Any Day of Week,Indoor,No,2,3,Improve athletic skills,Yoga,171,39
89,Kahaan Charan,Male,1999-05-15,Dapodi Bazar S.O,411012,18.57995,73.82783,3,Athletes,6,4,Daily,Indoor,Maybe,5,2,Improve athletic skills,Meditation,177,22
90,Nimit Sahni,Male,1997-05-03,Bibvewadi S.O,411037,18.48337,73.85561,3,Obese,95,4,Only Weekends,Both,No,5,1,Improve athletic skills,None,173,24
91,Kairav Chakrabarti,Male,2003-08-11,Ganeshkhind S.O,411007,18.55144,73.82197,1,Obese,95,5,Alternate Days,Indoor,No,3,3,Lose fat,Yoga,174,17
92,Reyansh Kumar,Male,1995-11-18,Shivajinagar S.O (Pune),411005,18.52022,73.84337,3,Acceptable,23,3,Any Day of Week,Both,Maybe,2,3,Improve athletic skills,Both,174,25
93,Ayaan Gandhi,Male,1998-10-22,Kondhwa BK B.O,411048,18.48028,73.89846999999997,3,Athletes,6,4,Daily,Outdoor,No,5,5,Improve endurance/conditioning,Yoga,164,22
94,Sarthak Bhat,Male,1998-12-08,L.K. Path S.O,411003,18.54263,73.78494,1,Obese,95,2,Monday To Friday,Both,Yes,1,4,Build muscle,Meditation,175,22
95,Aaradhya Darsha,Female,1995-03-20,Mundhva B.O,411036,18.53135,73.91478000000002,3,Fitness,22,2,Daily,Both,Maybe,3,1,Improve athletic skills,Yoga,164,26
96,Jay Joshi,Male,1998-11-18,Pune Weather S.O,411005,18.53245,73.84654,5,Essential Fat,6,3,Any Day of Week,Both,No,4,3,Build muscle,None,161,22
97,Pranay Narayan,Male,1983-07-22,Pune City H.O,411002,18.51377,73.85991,2,Essential Fat,6,1,Any Day of Week,Outdoor,Yes,1,5,Improve endurance/conditioning,None,168,37
98,Mahika Anand,Female,1999-05-15,Salisbury Park S.O,411037,18.48591,73.86715,2,Essential Fat,14,1,3 days of week,Indoor,Maybe,2,1,Improve athletic skills,Yoga,168,22
99,Navya Gandhi,Female,1985-02-20,N.D.A. Khadakwasla S.O,411023,18.44063,73.75898000000002,1,Athletes,21,1,3 days of week,Outdoor,Yes,5,4,Lose fat,None,163,36
100,Pavati Nita,Female,1994-08-27,Dhankawadi S.O,411043,18.46554,73.8487,4,Acceptable,32,2,Daily,Indoor,Yes,1,3,Lose fat,None,174,26
101,Navya Joshi,Female,1981-11-16,Vidyanagar S.O (Pune),411032,18.55284,73.95387,1,Obese,40,1,Monday To Friday,Both,Yes,4,3,Build muscle,None,170,39
102,Ryka Uddin,Female,1993-08-17,Model Colony S.O,411016,18.52906,73.83811,4,Fitness,22,5,Daily,Both,No,4,3,All,Both,160,27
103,Shanaya Srivas,Female,1991-05-05,Shivaji Housing Society S.O,411016,18.52501,73.82303,2,Fitness,22,4,Any Day of Week,Both,Maybe,2,1,Lose fat,Meditation,177,30
104,Rudra Veer,Male,1994-02-24,Salisbury Park S.O,411037,18.48591,73.86715,1,Athletes,6,2,Any Day of Week,Both,Maybe,1,1,Lose fat,None,160,27
105,Mehar Srini,Female,1983-03-11,Nehrunagar S.O (Pune),411018,18.62728,73.8388,5,Essential Fat,14,3,Alternate Days,Both,No,3,1,Lose fat,Yoga,167,38
106,Aarav Mehta,Male,1989-05-02,Ghorpuri Bazar S.O,411001,18.5259,73.89545,3,Athletes,6,3,3 days of week,Indoor,Maybe,1,1,Improve endurance/conditioning,None,175,32
107,Mirai Vish,Female,1985-12-13,Market Yard S.O (Pune),411037,18.48193,73.87425,4,Acceptable,32,4,Alternate Days,Indoor,Yes,4,5,Lose fat,Both,177,35
108,Zara Vish,Female,1988-09-03,Baner Road S.O,411007,18.55383,73.80216,3,Acceptable,32,2,Only Weekends,Both,Maybe,2,2,Mesomorph,Yoga,168,32
109,Rudra Sara,Male,1988-07-18,P.C.N.T. S.O,411044,18.6554,73.76124,3,Obese,95,1,Any Day of Week,Outdoor,No,2,5,Improve athletic skills,Meditation,171,32
110,Kahaan Srini,Male,1990-06-19,Khadki Bazar S.O,411003,18.56312,73.84433,1,Obese,95,1,Alternate Days,Outdoor,Yes,3,3,Lose fat,Yoga,178,30
111,Joseph Charan,Male,1989-12-18,N.I.A. S.O,411045,18.55284,73.95387,3,Acceptable,23,5,Daily,Both,No,2,5,All,Yoga,177,31
112,Yash Kishore,Male,1982-12-24,Thergaon B.O,411033,18.63172,73.73346,5,Acceptable,23,5,3 days of week,Indoor,Yes,2,4,All,Yoga,164,38
113,Adah Chakrabarti,Female,1997-09-03,Rasta Peth S.O,411011,18.5242,73.8578,3,Acceptable,32,1,3 days of week,Outdoor,Yes,2,1,Lose fat,Yoga,161,23
114,Luv Goel,Male,1996-08-12,Akurdi S.O,411035,18.76572,73.68905,1,Athletes,6,3,Monday To Friday,Outdoor,Maybe,2,4,Lose fat,None,166,24
115,Shanaya Neel,Female,1996-11-12,Thergaon B.O,411033,18.63172,73.73346,5,Acceptable,32,3,Daily,Outdoor,Yes,2,4,Mesomorph,Meditation,169,24
116,Anant Kishore,Male,1993-12-30,Warje S.O,411058,18.48029,73.79853,2,Fitness,14,5,Monday To Friday,Both,No,4,3,Lose fat,None,174,27
117,Drishti Raman,Female,1989-04-28,Ghorpuri Bazar S.O,411001,18.5259,73.89545,3,Essential Fat,14,4,Alternate Days,Outdoor,Maybe,1,1,Lose fat,Both,166,32
118,Yug Gandhi,Male,2003-02-17,Pimpri Waghire S.O,411017,18.60132,73.78156,1,Acceptable,23,1,Only Weekends,Outdoor,No,5,4,Improve athletic skills,Both,164,18
119,Kairav Swami,Male,1982-07-01,Masulkar Colony S.O,411018,18.63374,73.8129,2,Essential Fat,6,5,Daily,Outdoor,Yes,2,3,All,Yoga,174,38
120,Krisha Rana,Female,1993-01-29,Guruwar Peth S.O,411042,18.505470000000006,73.85951,2,Athletes,21,5,Daily,Outdoor,No,5,1,Mesomorph,None,174,28
121,Nimit Neela,Male,1983-10-20,Pune R.S. S.O,411001,18.5114,73.87722,4,Essential Fat,6,1,Daily,Indoor,No,5,2,All,None,169,37
122,Ved Swami,Male,1998-11-06,C D A (O) S.O,411001,18.57571,73.81074,5,Athletes,6,1,Monday To Friday,Both,Yes,4,3,Mesomorph,Meditation,173,22
123,Jash Ranga,Male,1992-08-07,L.K. Path S.O,411003,18.54263,73.78494,3,Fitness,14,3,Alternate Days,Both,Maybe,2,5,All,Meditation,169,28
124,Asmee Nirmal,Female,1981-11-02,Pune R.S. S.O,411001,18.5114,73.87722,1,Athletes,21,4,Daily,Indoor,No,5,1,Lose fat,Meditation,176,39
125,Zuber Gandhi,Male,2000-07-27,Khadki Arsenel S.O,411003,18.56312,73.84433,4,Athletes,6,4,Daily,Indoor,Yes,2,4,All,None,173,20
126,Prisha Raman,Female,1996-01-26,Pune H.O,411001,18.5358,73.891,5,Obese,40,1,3 days of week,Both,Maybe,3,4,All,Meditation,161,25
127,Ishita Sai,Female,2002-12-25,Vadgaon Sheri S.O,411014,18.542820000000006,73.92344,4,Acceptable,32,2,Only Weekends,Outdoor,Maybe,3,5,Mesomorph,Meditation,175,18
128,Raj Bhatt,Male,1987-01-02,Yerwada T.S. S.O,411006,18.54429,73.87986,5,Acceptable,23,5,3 days of week,Outdoor,Maybe,3,5,Build muscle,Meditation,172,34
129,Shanaya Patel,Female,1992-09-27,Shivaji Housing Society S.O,411016,18.52501,73.82303,5,Fitness,22,5,3 days of week,Both,No,5,4,Mesomorph,Yoga,168,28
130,Avni Nara,Female,1988-08-07,Sangavi S.O,411027,18.57422,73.81781,3,Fitness,22,1,Only Weekends,Outdoor,No,3,1,Mesomorph,Both,166,32
131,Laksh Raje,Male,1986-11-18,Nana Peth S.O,411002,18.51009,73.85672,5,Acceptable,23,2,Alternate Days,Indoor,No,4,3,Mesomorph,Both,175,34
132,Tanvi Subramanian,Female,1993-04-20,Dhankawadi S.O,411043,18.46554,73.8487,4,Obese,40,3,3 days of week,Outdoor,Maybe,4,5,Improve endurance/conditioning,None,169,28
133,Dasya Narang,Male,1988-10-24,Chinchwadga0n S.O,411033,18.55284,73.95387,5,Acceptable,23,1,Alternate Days,Outdoor,No,5,5,Improve endurance/conditioning,None,168,32
134,Rushil Soni,Male,2003-01-31,Range Hills S.O,411020,18.57462,73.82788000000002,3,Obese,95,1,3 days of week,Outdoor,Yes,2,5,Improve endurance/conditioning,Yoga,166,18
135,Nirav Nath,Male,1990-12-04,Dukirkline S.O,411014,18.60055,73.9608,3,Fitness,14,5,Any Day of Week,Both,No,1,2,Mesomorph,Both,175,30
136,Rohan Tyagi,Male,1995-04-13,Lokmanyanagar S.O,411030,18.50825,73.84405,4,Essential Fat,6,1,Only Weekends,Indoor,No,2,1,Build muscle,Meditation,168,26
137,Zara Ranga,Female,1988-07-24,Indrayaninagar S.O,411026,18.62923,73.83431999999998,2,Fitness,22,1,3 days of week,Outdoor,Maybe,2,1,Mesomorph,Meditation,176,32
138,Ishana Veer,Female,1982-03-01,Model Colony S.O,411016,18.52906,73.83811,2,Fitness,22,1,Any Day of Week,Both,No,2,1,Lose fat,None,166,39
139,Ishank Subramani,Male,1992-08-25,Srpf S.O,411022,18.50193,73.91264,5,Athletes,6,5,Monday To Friday,Outdoor,Yes,2,1,Build muscle,Both,170,28
140,Asmee Kapoor,Female,1992-07-03,Ammunition Factory Khadki S.O,411003,18.57295,73.86363,1,Athletes,21,3,Any Day of Week,Indoor,Maybe,1,1,Improve endurance/conditioning,None,167,28
141,Anushka Nirmal,Female,1994-03-23,Dukirkline S.O,411014,18.60055,73.9608,5,Athletes,21,3,Daily,Outdoor,Yes,3,4,All,None,166,27
142,Avni Ganesh,Female,1997-10-26,C M E S.O,411031,18.58289,73.8098,4,Athletes,21,1,3 days of week,Indoor,Maybe,2,5,All,Meditation,178,23
143,Ved Srivas,Male,1993-04-03,Khadki S.O,411003,18.56312,73.84433,4,Obese,95,5,Any Day of Week,Outdoor,Maybe,4,4,Improve athletic skills,Meditation,171,28
144,Rohan Joshi,Male,1981-01-22,Nana Peth S.O,411002,18.51009,73.85672,4,Acceptable,23,3,Alternate Days,Indoor,No,5,2,Build muscle,Both,166,40
145,Ayaan Raman,Male,1999-07-20,Armament S.O,411021,18.56068,73.7626,4,Essential Fat,6,3,Monday To Friday,Outdoor,Yes,5,3,Improve endurance/conditioning,None,167,21
146,Vivaan Srivas,Male,1982-01-21,Masulkar Colony S.O,411018,18.63374,73.8129,4,Fitness,14,3,3 days of week,Indoor,Maybe,4,5,Build muscle,Yoga,166,39
147,Rishit Manju,Male,2001-07-16,Parvati S.O,411009,18.49631,73.85621,3,Obese,95,5,Daily,Outdoor,No,2,2,Build muscle,Both,165,19
148,Joseph Jana,Male,2002-01-15,Dr.B.A. Chowk S.O,411001,18.52484,73.87657,2,Essential Fat,6,5,Any Day of Week,Outdoor,Maybe,1,4,All,None,168,19
149,Alisha Sehgal,Female,1988-09-18,Hadpsar I.E. S.O,411013,18.50453,73.91255,4,Obese,40,1,Monday To Friday,Both,Maybe,3,3,Mesomorph,Both,172,32
