,Name,Gender,DOB,Name Of Area,Pincode,Latitude ,Longitude
29,Asmee Subramani,Female,1982-01-12,S.P. College S.O,411030,18.5282,73.84735
30,Krisha Soni,Female,1989-12-28,Sasanenagar S.O,411028,18.4747,73.93157
31,Ved Uddin,Male,1992-03-10,Pune H.O,411001,18.5358,73.891
32,Vihaan Neel,Male,1981-06-18,Swargate Chowk S.O,411042,18.506970000000003,73.87119
33,Ved Kishore,Male,1999-12-22,Guruwar Peth S.O,411042,18.505470000000003,73.85951
34,Anant Nara,Male,1993-01-06,M.Phulenagar S.O,411019,28.5779,77.31541
35,Adhira Chauhan,Female,1982-02-17,Khondhwa KH B.O,411048,18.45756,73.89339
36,Manan Raji,Male,1984-07-23,Botanical Garden S.O (Pune),411003,18.56354,73.82588
37,Hiya Suri,Female,1981-08-10,Yamunanagar S.O,411044,18.60589,73.76143
38,Mohammad Veer,Male,1983-11-25,Dighi Camp S.O,411015,18.55284,73.95387
39,Ishita Patel,Female,1986-07-22,N.I.A. S.O,411045,18.55284,73.95387
40,Zuber Chauhan,Male,1989-07-12,Khadakwasla R.S. S.O,411024,18.45597,73.78478
41,Sai Joshi,Female,1992-05-12,Yerwada T.S. S.O,411006,18.54429,73.87986
42,Ishank Vijaya,Male,1996-03-26,Congress House Road S.O,411005,18.5282,73.84735
43,Krisha Muthu,Female,2003-01-11,Pimpri Colony S.O,411017,18.60755,73.78615
44,Naksh Kapoor,Male,1998-05-20,S.P. College S.O,411030,18.5282,73.84735
45,Rishaan Patel,Male,1984-06-14,Rashtra Bhasha Bhavan S.O,411030,18.509420000000002,73.84063
46,Ananya Srini,Female,1999-06-10,Kapad Ganj S.O,411002,18.51378,73.86019
47,Sai Rajagopal,Female,1982-12-22,Ghorpuri Bazar S.O,411001,18.5259,73.89545
48,Shanaya Punj,Female,1986-11-15,Chinchwad East S.O,411019,18.62815,73.8318
49,Pavati Chande,Female,1982-02-19,Hadapsar S.O,411028,18.50453,73.91255
50,Mehar Madan,Female,1993-07-18,Punawale B.O,411033,18.63172,73.73346
51,Mishka Malik,Female,1998-10-09,Lokmanyanagar S.O,411030,18.50825,73.84405
52,Reyansh Nath,Male,2003-02-22,Vadgaon Budruk S.O,411041,18.45823,73.81821
53,Shrishti Meena,Female,1998-04-19,Punawale B.O,411033,18.63172,73.73346
54,Vivaan Ganesh,Male,1981-03-04,Kasarwadi S.O,411034,18.60373,73.82221
55,Kahaan Sahni,Male,1982-01-02,Pune R.S. S.O,411001,18.5114,73.87722
56,Manan Manju,Male,2001-04-23,S.S.C.Exam Board S.O,411005,18.53245,73.84654
57,Krisha Rai,Female,1986-07-05,Khadki S.O,411003,18.56312,73.84433
58,Rohan Madan,Male,1981-01-22,Pune R.S. S.O,411001,18.5114,73.87722
59,Bhuv Srivastav,Male,1992-01-22,Katraj S.O,411046,18.45938,73.86667
60,Raunak Rai,Male,1991-12-03,Khadakwasla R.S. S.O,411024,18.45597,73.78478
61,Carina Sharma,Female,1983-12-09,Vadgaon Sheri S.O,411014,18.542820000000003,73.92344
62,Kaia Mahajan,Female,1997-12-23,Vidyanagar S.O (Pune),411032,18.55284,73.95387
63,Ryka Subram,Female,1989-10-11,Nana Peth S.O,411002,18.510089999999998,73.85672
64,Sneha Chaudhary,Female,1981-10-10,Congress House Road S.O,411005,18.5282,73.84735
65,Alisha Krishnamurthy,Female,2003-09-14,Sachapir Street S.O,411001,18.51141,73.87791999999999
66,Sadhil Lata,Male,1989-11-04,Punawale B.O,411033,18.63172,73.73346
67,Asmee Aggarwal,Female,1991-05-13,Rupeenagar S.O,412114,18.53325,73.89263000000001
68,Krisha Narayan,Female,1994-05-26,Pune H.O,411001,18.5358,73.891
69,Naksh Anand,Male,1990-03-13,Market Yard S.O (Pune),411037,18.48193,73.87425
70,Aahva Bhatt,Male,1996-07-01,N.C.L. Pune S.O,411008,18.536579999999997,73.7989
71,Adah Narayan,Female,2000-02-02,Kalewadi B.O,411017,18.618920000000003,73.79878000000001
72,Kimaya Chandrasekar,Female,1989-04-02,Dhanori B.O,411015,18.5844,73.88738000000001
73,Mirai Dutta,Female,1998-09-15,Khondhwa KH B.O,411048,18.45756,73.89339
74,Pahal Tyagi,Male,1986-11-28,Model Colony S.O,411016,18.52906,73.83811
75,Vivaan Subram,Male,1982-07-12,East Khadki S.O,411003,18.55499,73.86108
76,Navya Soni,Female,1988-10-27,Botanical Garden S.O (Pune),411003,18.56354,73.82588
77,Hiya Rana,Female,1984-12-12,L.K. Path S.O,411003,18.54263,73.78494
78,Sahana Engineer,Female,1991-03-16,Lokmanyanagar S.O,411030,18.50825,73.84405
79,Rushil Chauhan,Male,1992-05-26,Bhusari Colony S.O,411038,18.50956,73.79646
80,Ananya Charan,Female,1990-07-25,Mohamadwadi S.O,411060,18.47335,73.90957
81,Navya Samuel,Female,1982-02-19,Wanowarie S.O,411040,18.494770000000003,73.90127
82,Kevin Rana,Male,1989-07-23,Shivaji Housing Society S.O,411016,18.52501,73.82303
83,Sadhil Krishnamurthy,Male,2002-11-18,Shivaji Housing Society S.O,411016,18.52501,73.82303
84,Prisha Malik,Female,1990-04-09,Kondhwa Lh B.O,411048,18.48028,73.89846999999999
85,Amoli Chandra,Female,1986-08-26,Mohamadwadi S.O,411060,18.47335,73.90957
86,Mirai Lata,Female,1985-11-09,S.S.C.Exam Board S.O,411005,18.53245,73.84654
87,Taksh Veer,Male,1989-10-19,Sangavi S.O,411027,18.57422,73.81781
88,Anushka Neelam,Female,1982-02-01,Model Colony S.O,411016,18.52906,73.83811
89,Kahaan Charan,Male,1999-05-15,Dapodi Bazar S.O,411012,18.57995,73.82783
90,Nimit Sahni,Male,1997-05-03,Bibvewadi S.O,411037,18.48337,73.85561
91,Kairav Chakrabarti,Male,2003-08-11,Ganeshkhind S.O,411007,18.55144,73.82197
92,Reyansh Kumar,Male,1995-11-18,Shivajinagar S.O (Pune),411005,18.520220000000002,73.84337
93,Ayaan Gandhi,Male,1998-10-22,Kondhwa BK B.O,411048,18.48028,73.89846999999999
94,Sarthak Bhat,Male,1998-12-08,L.K. Path S.O,411003,18.54263,73.78494
95,Aaradhya Darsha,Female,1995-03-20,Mundhva B.O,411036,18.53135,73.91478000000001
96,Jay Joshi,Male,1998-11-18,Pune Weather S.O,411005,18.53245,73.84654
97,Pranay Narayan,Male,1983-07-22,Pune City H.O,411002,18.51377,73.85991
98,Mahika Anand,Female,1999-05-15,Salisbury Park S.O,411037,18.48591,73.86715
99,Navya Gandhi,Female,1985-02-20,N.D.A. Khadakwasla S.O,411023,18.44063,73.75898000000001
100,Pavati Nita,Female,1994-08-27,Dhankawadi S.O,411043,18.46554,73.8487
101,Navya Joshi,Female,1981-11-16,Vidyanagar S.O (Pune),411032,18.55284,73.95387
102,Ryka Uddin,Female,1993-08-17,Model Colony S.O,411016,18.52906,73.83811
103,Shanaya Srivas,Female,1991-05-05,Shivaji Housing Society S.O,411016,18.52501,73.82303
104,Rudra Veer,Male,1994-02-24,Salisbury Park S.O,411037,18.48591,73.86715
105,Mehar Srini,Female,1983-03-11,Nehrunagar S.O (Pune),411018,18.62728,73.8388
106,Aarav Mehta,Male,1989-05-02,Ghorpuri Bazar S.O,411001,18.5259,73.89545
107,Mirai Vish,Female,1985-12-13,Market Yard S.O (Pune),411037,18.48193,73.87425
108,Zara Vish,Female,1988-09-03,Baner Road S.O,411007,18.553829999999998,73.80216
109,Rudra Sara,Male,1988-07-18,P.C.N.T. S.O,411044,18.6554,73.76124
110,Kahaan Srini,Male,1990-06-19,Khadki Bazar S.O,411003,18.56312,73.84433
111,Joseph Charan,Male,1989-12-18,N.I.A. S.O,411045,18.55284,73.95387
112,Yash Kishore,Male,1982-12-24,Thergaon B.O,411033,18.63172,73.73346
113,Adah Chakrabarti,Female,1997-09-03,Rasta Peth S.O,411011,18.5242,73.8578
114,Luv Goel,Male,1996-08-12,Akurdi S.O,411035,18.76572,73.68905
115,Shanaya Neel,Female,1996-11-12,Thergaon B.O,411033,18.63172,73.73346
116,Anant Kishore,Male,1993-12-30,Warje S.O,411058,18.48029,73.79853
117,Drishti Raman,Female,1989-04-28,Ghorpuri Bazar S.O,411001,18.5259,73.89545
118,Yug Gandhi,Male,2003-02-17,Pimpri Waghire S.O,411017,18.60132,73.78156
119,Kairav Swami,Male,1982-07-01,Masulkar Colony S.O,411018,18.63374,73.8129
120,Krisha Rana,Female,1993-01-29,Guruwar Peth S.O,411042,18.505470000000003,73.85951
121,Nimit Neela,Male,1983-10-20,Pune R.S. S.O,411001,18.5114,73.87722
122,Ved Swami,Male,1998-11-06,C D A (O) S.O,411001,18.57571,73.81074
123,Jash Ranga,Male,1992-08-07,L.K. Path S.O,411003,18.54263,73.78494
124,Asmee Nirmal,Female,1981-11-02,Pune R.S. S.O,411001,18.5114,73.87722
125,Zuber Gandhi,Male,2000-07-27,Khadki Arsenel S.O,411003,18.56312,73.84433
126,Prisha Raman,Female,1996-01-26,Pune H.O,411001,18.5358,73.891
127,Ishita Sai,Female,2002-12-25,Vadgaon Sheri S.O,411014,18.542820000000003,73.92344
128,Raj Bhatt,Male,1987-01-02,Yerwada T.S. S.O,411006,18.54429,73.87986
129,Shanaya Patel,Female,1992-09-27,Shivaji Housing Society S.O,411016,18.52501,73.82303
130,Avni Nara,Female,1988-08-07,Sangavi S.O,411027,18.57422,73.81781
131,Laksh Raje,Male,1986-11-18,Nana Peth S.O,411002,18.510089999999998,73.85672
132,Tanvi Subramanian,Female,1993-04-20,Dhankawadi S.O,411043,18.46554,73.8487
133,Dasya Narang,Male,1988-10-24,Chinchwadga0n S.O,411033,18.55284,73.95387
134,Rushil Soni,Male,2003-01-31,Range Hills S.O,411020,18.57462,73.82788000000001
135,Nirav Nath,Male,1990-12-04,Dukirkline S.O,411014,18.60055,73.9608
136,Rohan Tyagi,Male,1995-04-13,Lokmanyanagar S.O,411030,18.50825,73.84405
137,Zara Ranga,Female,1988-07-24,Indrayaninagar S.O,411026,18.62923,73.83431999999999
138,Ishana Veer,Female,1982-03-01,Model Colony S.O,411016,18.52906,73.83811
139,Ishank Subramani,Male,1992-08-25,Srpf S.O,411022,18.501929999999998,73.91264
140,Asmee Kapoor,Female,1992-07-03,Ammunition Factory Khadki S.O,411003,18.57295,73.86363
141,Anushka Nirmal,Female,1994-03-23,Dukirkline S.O,411014,18.60055,73.9608
142,Avni Ganesh,Female,1997-10-26,C M E S.O,411031,18.58289,73.8098
143,Ved Srivas,Male,1993-04-03,Khadki S.O,411003,18.56312,73.84433
144,Rohan Joshi,Male,1981-01-22,Nana Peth S.O,411002,18.510089999999998,73.85672
145,Ayaan Raman,Male,1999-07-20,Armament S.O,411021,18.560679999999998,73.7626
146,Vivaan Srivas,Male,1982-01-21,Masulkar Colony S.O,411018,18.63374,73.8129
147,Rishit Manju,Male,2001-07-16,Parvati S.O,411009,18.49631,73.85621
148,Joseph Jana,Male,2002-01-15,Dr.B.A. Chowk S.O,411001,18.52484,73.87657
149,Alisha Sehgal,Female,1988-09-18,Hadpsar I.E. S.O,411013,18.50453,73.91255
150,Rushil Nagpal,Male,1986-05-06,Pune City H.O,411002,18.51377,73.85991
151,Naksh Manju,Male,1985-12-16,Ganeshkhind S.O,411007,18.55144,73.82197
152,Naitee Kumar,Female,1990-06-22,N I B M S.O,411048,18.47298,73.89421
153,Sneha Uddin,Female,1998-07-30,Narayan Peth S.O,411030,18.51553,73.8523
154,Ira Dutta,Female,1991-03-01,Dhanori B.O,411015,18.5844,73.88738000000001
155,Mishka Chaudhary,Female,2003-09-29,Airport S.O (Pune),411032,18.57956,73.88954
156,Pranay Dhawan,Male,2000-08-06,Mohamadwadi S.O,411060,18.47335,73.90957
157,Zara Naran,Female,1995-04-11,Vadgaon Budruk S.O,411041,18.45823,73.81821
158,Naitee Chauhan,Female,2000-11-27,Rasta Peth S.O,411011,18.5242,73.8578
159,Yug Nigam,Male,1996-12-21,Pune City H.O,411002,18.51377,73.85991
160,Ishank Aggarwal,Male,1983-10-19,Kapad Ganj S.O,411002,18.51378,73.86019
161,Sadhil Saxena,Male,1988-12-20,Dapodi Bazar S.O,411012,18.57995,73.82783
162,Pavati Chaudhary,Female,2000-08-31,Khondhwa KH B.O,411048,18.45756,73.89339
163,Ved Manju,Male,2002-10-22,Rashtra Bhasha Bhavan S.O,411030,18.509420000000002,73.84063
164,Kairav Nigam,Male,2000-01-27,Swargate S.O,411042,18.506970000000003,73.87119
165,Akanksh Raje,Male,1990-10-31,Ex. Serviceman Colony S.O,411038,18.48029,73.79853
166,Idhant Neela,Male,1996-02-28,N.W. College S.O,411001,18.53446,73.88304000000001
167,Reyansh Dhawan,Male,2003-11-24,Bhavani Peth S.O,411042,18.506970000000003,73.87119
168,Rachit Vijaya,Male,1989-07-02,Dapodi Bazar S.O,411012,18.57995,73.82783
169,Avni Meena,Female,2001-02-22,Kothrud S.O,411038,18.50767,73.78967
170,Anika Neel,Female,1992-08-24,Ghorpuri Bazar S.O,411001,18.5259,73.89545
171,Nirav Veena,Male,1995-08-22,Ex. Serviceman Colony S.O,411038,18.48029,73.79853
172,Shrishti Mittal,Female,1988-04-07,P.C.N.T. S.O,411044,18.6554,73.76124
173,Vihaan Chandra,Male,1997-09-02,Raviwar Peth S.O,411002,18.517689999999998,73.86014
174,Shanaya Rajan,Female,1984-11-09,Wanowarie S.O,411040,18.494770000000003,73.90127
175,Jay Saxena,Male,2003-09-21,Indrayaninagar S.O,411026,18.62923,73.83431999999999
176,Kevin Pal,Male,2001-07-21,Ghorpade Peth S.O,411042,18.50139,73.86309
177,Anaisha Verma,Female,2003-06-14,Bhavani Peth S.O,411042,18.506970000000003,73.87119
178,Rishit Samuel,Male,1990-08-07,Bajirao Road S.O,411002,18.50995,73.85375
179,Hem Pawan,Male,1983-11-10,Mangalwar Peth S.O (Pune),411011,18.5221,73.86273
180,Gian Raje,Male,1983-06-20,Mundhva B.O,411036,18.53135,73.91478000000001
181,Viti Narang,Female,1996-11-28,Lohogaon S.O,411047,18.55284,73.95387
182,Ishita Sethi,Female,1985-08-14,Kondhwa BK B.O,411048,18.48028,73.89846999999999
183,Krisha Darsha,Female,1986-04-23,S.P. College S.O,411030,18.5282,73.84735
184,Viti Prasad,Female,1989-08-25,Anandnagar S.O (Pune),411051,18.62981,73.84746
185,Jay Puri,Male,2002-04-09,Chinchwad East S.O,411019,18.62815,73.8318
186,Saisha Jai,Female,1999-10-29,Shaniwar Peth S.O (Pune),411030,18.51384,73.84876
187,Rachit Mittal,Male,1997-08-10,S.P. College S.O,411030,18.5282,73.84735
188,Ved Raman,Male,1986-12-31,Swargate S.O,411042,18.506970000000003,73.87119
189,Pavati Bhatt,Female,2001-09-13,Chinchwad East S.O,411019,18.62815,73.8318
190,Viti Sahni,Female,1988-03-27,Sachapir Street S.O,411001,18.51141,73.87791999999999
191,Kairav Chauhan,Male,1987-09-11,Dhanori B.O,411015,18.5844,73.88738000000001
192,Prisha Swami,Female,1993-08-09,N.D.A. Khadakwasla S.O,411023,18.44063,73.75898000000001
193,Mishka Madan,Female,2001-10-11,Congress House Road S.O,411005,18.5282,73.84735
194,Aahva Jindal,Male,1995-10-24,C D A (O) S.O,411001,18.57571,73.81074
195,Avni Sethi,Female,1994-02-27,T.V. Nagar S.O,411037,18.46135,73.86633
196,Ayaan Nara,Male,2002-05-05,Chinchwadga0n S.O,411033,18.55284,73.95387
197,Sarthak Arun,Male,1987-03-28,Deccan Gymkhana S.O,411004,18.518060000000002,73.83615
198,Krisha Aggarwal,Female,1993-07-19,Kasba Peth S.O,411011,18.5242,73.8578
199,Nehrika Sara,Female,1982-08-18,Warje S.O,411058,18.48029,73.79853
200,Ranbir Veena,Male,1986-10-21,Bibvewadi S.O,411037,18.48337,73.85561
201,Zuber Sehgal,Male,2002-12-18,Aundh T.S. S.O,411007,18.55144,73.82197
202,Kevin Chandra,Male,2003-12-20,Lohogaon S.O,411047,18.55284,73.95387
203,Rebecca Naran,Female,1985-12-10,Chinchwadga0n S.O,411033,18.55284,73.95387
204,Laksh Neela,Male,1991-09-27,Parvati Gaon S.O,411009,18.49631,73.85621
205,Ryka Tyagi,Female,1981-11-01,Govt. Polytechnic S.O,411016,18.530479999999997,73.83252
206,Saisha Aggarwal,Female,1993-08-23,AFMC S.O,411040,18.49267,73.90352
207,Anant Vish,Male,2002-11-25,N.C.L. Pune S.O,411008,18.536579999999997,73.7989
208,Navya Sharma,Female,1984-12-21,Kondhwa BK B.O,411048,18.48028,73.89846999999999
209,Jay Verma,Male,1981-09-01,N.W. College S.O,411001,18.53446,73.88304000000001
210,Raunak Lal,Male,2001-02-03,Srpf S.O,411022,18.501929999999998,73.91264
211,Atiksh Srivas,Male,1989-08-02,Sachapir Street S.O,411001,18.51141,73.87791999999999
212,Rachit Raji,Male,1991-07-29,Film Institute S.O,411004,18.518060000000002,73.83615
213,Rohan Swami,Male,1996-11-02,Raviwar Peth S.O,411002,18.517689999999998,73.86014
214,Rishaan Verma,Male,1983-03-06,N.W. College S.O,411001,18.53446,73.88304000000001
215,Anant Sethi,Male,1998-03-28,Pune H.O,411001,18.5358,73.891
216,Kashvi Dutta,Female,1988-01-30,Swargate Chowk S.O,411042,18.506970000000003,73.87119
217,Taara Manohar,Female,1987-01-11,Kalewadi B.O,411017,18.618920000000003,73.79878000000001
218,Sahana Anand,Female,1982-06-22,Armament S.O,411021,18.560679999999998,73.7626
219,Hem Rajan,Male,1982-08-21,Dukirkline S.O,411014,18.60055,73.9608
220,Kevin Nirmal,Male,2000-04-26,Congress House Road S.O,411005,18.5282,73.84735
221,Naitee Pal,Female,1987-09-25,Parvati S.O,411009,18.49631,73.85621
222,Reyansh Mati,Male,1999-02-06,Anandnagar S.O (Pune),411051,18.62981,73.84746
223,Sadhil Mehta,Male,1984-04-16,T.V. Nagar S.O,411037,18.46135,73.86633
224,Viti Sharma,Female,1990-07-03,Nehrunagar S.O (Pune),411018,18.62728,73.8388
225,Aahva Rana,Male,2003-08-26,Nehrunagar S.O (Pune),411018,18.62728,73.8388
226,Carina Gandhi,Female,1983-12-30,Rashtra Bhasha Bhavan S.O,411030,18.509420000000002,73.84063
227,Drishti Soni,Female,1991-10-13,Dapodi S.O,411012,18.57749,73.83138000000001
228,Anushka Rana,Female,1994-07-02,Baner Road S.O,411007,18.553829999999998,73.80216
229,Kabir Veena,Male,1982-04-15,AFMC S.O,411040,18.49267,73.90352
230,Kevin Ranga,Male,1989-11-22,Wanowarie S.O,411040,18.494770000000003,73.90127
231,Alisha Nirmal,Female,1989-04-19,Rashtra Bhasha Bhavan S.O,411030,18.509420000000002,73.84063
232,Zara Sudha,Female,2000-09-17,Vishrantwadi S.O,411015,18.60226,73.89806
233,Sneha Suri,Female,1988-06-21,Swargate Chowk S.O,411042,18.506970000000003,73.87119
234,Rishaan Srivastav,Male,1993-01-19,Masulkar Colony S.O,411018,18.63374,73.8129
235,Gian Neela,Male,1983-08-31,N.D.A. Khadakwasla S.O,411023,18.44063,73.75898000000001
236,Aarav Raman,Male,1997-02-16,Navsahyadri S.O,411052,18.495279999999998,73.82775
237,Kaia Persaud,Female,1995-06-24,Yerwada T.S. S.O,411006,18.54429,73.87986
238,Navya Rastogi,Female,1985-08-15,Vishrantwadi S.O,411015,18.60226,73.89806
239,Gian Punj,Male,2001-08-09,Yamunanagar S.O,411044,18.60589,73.76143
240,Rebecca Malhotra,Female,1996-12-06,Vishrantwadi S.O,411015,18.60226,73.89806
241,Adhira Punj,Female,1989-12-12,Ghorpuri Bazar S.O,411001,18.5259,73.89545
242,Sahana Sehgal,Female,1989-07-25,M.Phulenagar S.O,411019,28.5779,77.31541
243,Mehar Joshi,Female,1995-05-20,Sadashiv Peth S.O,411030,18.50825,73.84405
244,Amoli Veena,Female,1992-11-17,Pimpri Colony S.O,411017,18.60755,73.78615
245,Adhira Subramani,Female,1994-05-12,Kothrud S.O,411038,18.50767,73.78967
246,Kevin Srivastav,Male,2002-02-11,Dapodi S.O,411012,18.57749,73.83138000000001
247,Adah Kumar,Female,1993-12-27,Lohogaon S.O,411047,18.55284,73.95387
248,Taara Manju,Female,1995-01-20,Bhosari I.E. S.O,411026,18.55284,73.95387
249,Anaisha Rastogi,Female,1981-09-28,Vadgaon Sheri S.O,411014,18.542820000000003,73.92344
250,Rishit Aggarwal,Male,1982-05-17,AFMC S.O,411040,18.49267,73.90352
251,Rishaan Kishore,Male,1991-03-06,Lokmanyanagar S.O,411030,18.50825,73.84405
252,Ranbir Subramani,Male,1989-02-27,Mohamadwadi S.O,411060,18.47335,73.90957
253,Taahira Punj,Female,1992-11-21,S.P. College S.O,411030,18.5282,73.84735
254,Raj Roy,Male,1982-02-14,Chinchwad East S.O,411019,18.62815,73.8318
255,Larisa Nigam,Female,1990-08-04,S.S.C.Exam Board S.O,411005,18.53245,73.84654
256,Aadiv Nirmal,Male,2002-09-17,Khadki S.O,411003,18.56312,73.84433
257,Zara Puri,Female,2000-02-20,Khadki Arsenel S.O,411003,18.56312,73.84433
258,Manan Persaud,Male,2001-12-21,T.V. Nagar S.O,411037,18.46135,73.86633
259,Rishaan Srivas,Male,1981-11-16,N.D.A. Khadakwasla S.O,411023,18.44063,73.75898000000001
260,Reyansh Shan,Male,1992-01-25,Pimpri Waghire S.O,411017,18.60132,73.78156
261,Aahva Srivas,Male,1987-10-08,Baner Road S.O,411007,18.553829999999998,73.80216
262,Vivaan Malik,Male,1996-02-08,Bhosarigoan S.O,411039,18.55284,73.95387
263,Joseph Mittal,Male,2002-02-22,Bhusari Colony S.O,411038,18.50956,73.79646
264,Hiya Prasad,Female,1993-10-04,Kondhwa BK B.O,411048,18.48028,73.89846999999999
265,Mohammad Swami,Male,1990-08-28,P.C.N.T. S.O,411044,18.6554,73.76124
266,Shrishti Naran,Female,1996-05-21,L.K. Path S.O,411003,18.54263,73.78494
267,Taahira Kumar,Female,2003-12-17,Ganeshkhind S.O,411007,18.55144,73.82197
268,Taarush Lalit,Male,1982-11-30,Warje S.O,411058,18.48029,73.79853
269,Amoli Engineer,Female,1996-08-25,Dukirkline S.O,411014,18.60055,73.9608
270,Kimaya Nagpal,Female,1995-02-17,Chinchwadga0n S.O,411033,18.55284,73.95387
271,Jash Sen,Male,1995-11-18,Vadgaon Sheri S.O,411014,18.542820000000003,73.92344
272,Pahal Nara,Male,1991-08-24,Chinchwadga0n S.O,411033,18.55284,73.95387
273,Krisha Srivastav,Female,2001-09-13,Masulkar Colony S.O,411018,18.63374,73.8129
274,Larisa Vish,Female,2003-03-06,Aundh T.S. S.O,411007,18.55144,73.82197
275,Kimaya Neel,Female,1999-12-24,Lokmanyanagar S.O,411030,18.50825,73.84405
276,Nirav Srini,Male,1992-07-11,Ghorpade Peth S.O,411042,18.50139,73.86309
277,Sai Vijaya,Female,1998-10-04,Nehrunagar S.O (Pune),411018,18.62728,73.8388
278,Parv Patel,Male,1998-06-29,Narayan Peth S.O,411030,18.51553,73.8523
279,Raj Jindal,Male,2002-11-08,Model Colony S.O,411016,18.52906,73.83811
280,Aarav Kapoor,Male,1981-11-03,Thergaon B.O,411033,18.63172,73.73346
281,Anushka Narang,Female,1981-04-13,Kasba Peth S.O,411011,18.5242,73.8578
282,Keya Lal,Female,2002-06-18,Katraj S.O,411046,18.45938,73.86667
283,Navya Subramanian,Female,1981-08-26,Salisbury Park S.O,411037,18.48591,73.86715
284,Dasya Krishnamurthy,Male,1981-08-14,AFMC S.O,411040,18.49267,73.90352
285,Laksh Darsha,Male,1993-09-27,Khadki S.O,411003,18.56312,73.84433
286,Anushka Sandeep,Female,1997-12-17,Shukrawar Peth S.O (Pune),411002,18.510089999999998,73.85672
287,Saanvi Neel,Female,1995-09-05,Govt. Polytechnic S.O,411016,18.530479999999997,73.83252
288,Bhuv Jai,Male,1987-01-22,Sangavi S.O,411027,18.57422,73.81781
289,Raj Rajan,Male,1999-09-03,P.C.N.T. S.O,411044,18.6554,73.76124
290,Taksh Dutta,Male,1984-07-21,Talwade B.O,412114,18.501060600000002,73.5137584
291,Pahal Anand,Male,1993-02-19,N.W. College S.O,411001,18.53446,73.88304000000001
292,Raunak Manohar,Male,1986-02-12,Khadki Bazar S.O,411003,18.56312,73.84433
293,Taahira Narang,Female,2002-10-27,Ghorpuri Bazar S.O,411001,18.5259,73.89545
294,Ishita Rajagopal,Female,1986-05-29,Bajirao Road S.O,411002,18.50995,73.85375
295,Anika Bhat,Female,1999-03-28,Khadki S.O,411003,18.56312,73.84433
296,Kabir Subramanian,Male,1983-04-20,Mohamadwadi S.O,411060,18.47335,73.90957
297,Kahaan Manju,Male,1999-09-23,Kondhwa Lh B.O,411048,18.48028,73.89846999999999
298,Kevin Chande,Male,1994-01-31,Nehrunagar S.O (Pune),411018,18.62728,73.8388
299,Dasya Saini,Male,1989-05-26,Kondhwa Lh B.O,411048,18.48028,73.89846999999999
300,Navya Punj,Female,1984-10-11,Baner Road S.O,411007,18.553829999999998,73.80216
